sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,configurable_variations,configurable_variation_labels
7700010621112,,Default,configurable,"Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode,Default Category/Designers/Baobab",base,"One Side Shoulder One Piece Swimsuit","<ul style=""list-style-type: square;"">
<li><span style=""background-color: #ffffff;""><strong>Product Details:</strong> One side Shoulder One Piece Swimsuit</span></li>
<li><span style=""background-color: #ffffff;""><strong>Material:</strong> 80% polyester, 20% elastane</span></li>
<li><span style=""background-color: #ffffff;""><strong>Size & Fit:</strong> Model is wearing size S</span></li>
<li><span style=""background-color: #ffffff;""><strong>Process of Manufacturing:</strong> Handmade</span></li>
<li><span style=""background-color: #ffffff;""><strong>Country of Origin:</strong> Colombia</span></li>
<li><span style=""background-color: #ffffff;""><strong>Care of the product:</strong> Hand wash, do not twist, do not bleach</span></li>
<li><span style=""background-color: #ffffff;""><strong>Social Cause:</strong> For every swimsuit you purchase, we plant a tree in your name</span></li>
</ul>",,1.000000,1,0,"Catalog, Search",,,,,one-side-shoulder-one-piece-swimsuit,"One Side Shoulder One Piece Swimsuit","Beachwear, Swimwear, resortwear, women swimwear, Swimsuit, One piece, Bikini, fashion Bikini, trikini, Luxury Swimwear, fashion, online bikini, Designer swimwear, sexy bikinis","This exclusive Latin Label Side  Shoulder, Cut out One Piece Swimsuit created by BAOBAB is perfect for your next vacation. Shop stylish bikinis, one pieces and sexy bikinis from Latin American Designers",/t/u/tulu1.jpg,,/t/u/tulu1.jpg,,/t/u/tulu1.jpg,,,,"3/31/20, 4:21 PM","7/13/20, 2:10 AM",4/9/20,5/31/20,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Colombia,"complete_your_look=57,hover=/t/u/tulu2_1_4.jpg,mgs_brand=Baobab,ts_packaging_type=None,you_may_also_like=25",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/t/u/tulu1.jpg,/t/u/tulu2_1_4.jpg,/t/u/tulu3.png,/t/u/tulu4.png",",,,",,,,,,,,,,"sku=7700010621112-Pink-M,color=Pink,size=M|sku=7700010621112-Pink-S,color=Pink,size=S|sku=7700010621112-Pink-L,color=Pink,size=L","color=Color,size=Size"
7700010621112-Pink-S,,Default,simple,"Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode",base,"One Side Shoulder One Piece Swimsuit-Pink-S","<ul style=""list-style-type: square;"">
<li><span style=""background-color: #ffffff;""><strong>Product Details:</strong> One side Shoulder One Piece Swimsuit</span></li>
<li><span style=""background-color: #ffffff;""><strong>Material:</strong> 80% polyester, 20% elastane</span></li>
<li><span style=""background-color: #ffffff;""><strong>Size & Fit:</strong> Model is wearing size S</span></li>
<li><span style=""background-color: #ffffff;""><strong>Process of Manufacturing:</strong> Handmade</span></li>
<li><span style=""background-color: #ffffff;""><strong>Country of Origin:</strong> Colombia</span></li>
<li><span style=""background-color: #ffffff;""><strong>Care of the product:</strong> Hand wash, do not twist, do not bleach</span></li>
<li><span style=""background-color: #ffffff;""><strong>Social Cause:</strong> For every swimsuit you purchase, we plant a tree in your name</span></li>
</ul>",,1.000000,1,0,"Not Visible Individually",130.000000,,,,one-side-shoulder-one-piece-swimsuit-pink-s,"One Side Shoulder One Piece Swimsuit","Beachwear, Swimwear, resortwear, women swimwear, Swimsuit, One piece, Bikini, fashion Bikini, trikini, Luxury Swimwear, fashion, online bikini, Designer swimwear, sexy bikinis","This exclusive Latin Label Side  Shoulder, Cut out One Piece Swimsuit created by BAOBAB is perfect for your next vacation. Shop stylish bikinis, one pieces and sexy bikinis from Latin American Designers",/t/u/tulu1_1.jpg,,/t/u/tulu1_1.jpg,,/t/u/tulu1_1.jpg,,/t/u/tulu1_1.jpg,,"3/31/20, 4:28 PM","4/14/20, 2:50 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",Colombia,"color=Pink,hover=/t/u/tulu2_1_1.jpg,mgs_brand=Baobab,size=S,ts_packaging_type=None",18.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/t/u/tulu1_1.jpg,/t/u/tulu2_1_1.jpg,/t/u/tulu3_1.png,/t/u/tulu4_1.png",",,,",,,,,,,,,,,
7700010621112-Pink-M,,Default,simple,"Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode",base,"One Side Shoulder One Piece Swimsuit-Pink-M","<ul style=""list-style-type: square;"">
<li><span style=""background-color: #ffffff;""><strong>Product Details:</strong> One side Shoulder One Piece Swimsuit</span></li>
<li><span style=""background-color: #ffffff;""><strong>Material:</strong> 80% polyester, 20% elastane</span></li>
<li><span style=""background-color: #ffffff;""><strong>Size & Fit:</strong> Model is wearing size S</span></li>
<li><span style=""background-color: #ffffff;""><strong>Process of Manufacturing:</strong> Handmade</span></li>
<li><span style=""background-color: #ffffff;""><strong>Country of Origin:</strong> Colombia</span></li>
<li><span style=""background-color: #ffffff;""><strong>Care of the product:</strong> Hand wash, do not twist, do not bleach</span></li>
<li><span style=""background-color: #ffffff;""><strong>Social Cause:</strong> For every swimsuit you purchase, we plant a tree in your name</span></li>
</ul>",,1.000000,1,0,"Not Visible Individually",130.000000,,,,one-side-shoulder-one-piece-swimsuit-pink-m,"One Side Shoulder One Piece Swimsuit","Beachwear, Swimwear, resortwear, women swimwear, Swimsuit, One piece, Bikini, fashion Bikini, trikini, Luxury Swimwear, fashion, online bikini, Designer swimwear, sexy bikinis","This exclusive Latin Label Side  Shoulder, Cut out One Piece Swimsuit created by BAOBAB is perfect for your next vacation. Shop stylish bikinis, one pieces and sexy bikinis from Latin American Designers",/t/u/tulu1_2.jpg,,/t/u/tulu1_2.jpg,,/t/u/tulu1_2.jpg,,/t/u/tulu1_2.jpg,,"3/31/20, 4:28 PM","4/6/20, 4:48 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",Colombia,"color=Pink,mgs_brand=Baobab,size=M,ts_packaging_type=None",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/t/u/tulu1_2.jpg,/t/u/tulu2_1_2.jpg,/t/u/tulu3_2.png,/t/u/tulu4_2.png",",,,",,,,,,,,,,,
7700010621112-Pink-L,,Default,simple,"Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode",base,"One Side Shoulder One Piece Swimsuit-Pink-L","<ul style=""list-style-type: square;"">
<li><span style=""background-color: #ffffff;""><strong>Product Details:</strong> One side Shoulder One Piece Swimsuit</span></li>
<li><span style=""background-color: #ffffff;""><strong>Material:</strong> 80% polyester, 20% elastane</span></li>
<li><span style=""background-color: #ffffff;""><strong>Size & Fit:</strong> Model is wearing size S</span></li>
<li><span style=""background-color: #ffffff;""><strong>Process of Manufacturing:</strong> Handmade</span></li>
<li><span style=""background-color: #ffffff;""><strong>Country of Origin:</strong> Colombia</span></li>
<li><span style=""background-color: #ffffff;""><strong>Care of the product:</strong> Hand wash, do not twist, do not bleach</span></li>
<li><span style=""background-color: #ffffff;""><strong>Social Cause:</strong> For every swimsuit you purchase, we plant a tree in your name</span></li>
</ul>",,1.000000,1,0,"Not Visible Individually",130.000000,,,,one-side-shoulder-one-piece-swimsuit-pink-l,"One Side Shoulder One Piece Swimsuit","Beachwear, Swimwear, resortwear, women swimwear, Swimsuit, One piece, Bikini, fashion Bikini, trikini, Luxury Swimwear, fashion, online bikini, Designer swimwear, sexy bikinis","This exclusive Latin Label Side  Shoulder, Cut out One Piece Swimsuit created by BAOBAB is perfect for your next vacation. Shop stylish bikinis, one pieces and sexy bikinis from Latin American Designers",/t/u/tulu1_3.jpg,,/t/u/tulu1_3.jpg,,/t/u/tulu1_3.jpg,,/t/u/tulu1_3.jpg,,"3/31/20, 4:28 PM","4/6/20, 4:49 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",Colombia,"color=Pink,mgs_brand=Baobab,size=L,ts_packaging_type=None",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/t/u/tulu1_3.jpg,/t/u/tulu2_1_3.jpg,/t/u/tulu3_3.png,/t/u/tulu4_3.png",",,,",,,,,,,,,,,
7700010631111,,Default,configurable,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode,Default Category/Designers/Baobab",base,"Parallel Side Cut Out One Piece Swimsuit","<ul style=""list-style-type: square;"">
<li><strong>Product Details:</strong> Parallel Side Cut Out One Piece Swimsuit</li>
<li><strong>Material:</strong> 80% polyester, 20% elastane</li>
<li><strong>Size & Fit:</strong> Model is wearing size S</li>
<li><strong>Process of Manufacturing:</strong> Handmade</li>
<li><strong>Country of Origin:</strong> Colombia</li>
<li><strong>Care of the product:</strong> Hand wash, do not twist, do not bleach</li>
<li><strong>Social Cause:</strong> For every swimsuit you purchase, we plant a tree in your name</li>
</ul>",,1.000000,1,0,"Catalog, Search",,,,,parallel-side-cut-out-one-piece-swimsuit,"Parallel Side Cut Out One Piece Swimsuit","Beachwear, Swimwear, resort wear, women swimwear, Swimsuit, One-piece, Bikini, fashion Bikini, trikini, Luxury Swimwear, fashion, online bikini, Designer swimwear, sexy bikinis","This exclusive Latin Label Parallel Side Cut Out One Piece Swimsuit created by BAOBAB is perfect for your next vacation. Shop stylish bikinis, one pieces and sexy bikinis from Latin American Designers",/a/s/asaka1_3.jpg,,/a/s/asaka1_3.jpg,,/a/s/asaka1_3.jpg,,/a/s/asaka1_3.jpg,,"3/31/20, 5:22 PM","7/13/20, 3:31 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Colombia,"complete_your_look=57,hover=/a/s/asaka2_1.jpg,mgs_brand=Baobab,ts_packaging_type=None,you_may_also_like=25",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/s/asaka1_3.jpg,/a/s/asaka2_1.jpg,/a/s/asaka3.png,/a/s/asaka4_1.png,/a/s/asaka5.jpg",",,,,",,,,,,,,,,"sku=7700010631111-Burgundy-M,color=Burgundy,size=M|sku=7700010631111-Burgundy-S,color=Burgundy,size=S|sku=7700010631111-Burgundy-L,color=Burgundy,size=L","color=Color,size=Size"
770001061113,,Default,configurable,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/Vacation Mode,Default Category/Designers/Baobab",base,"One Shoulder Cut Out Swimswuit","<p>Product Description</p>",,1.000000,1,0,"Catalog, Search",,,,,one-shoulder-cut-out-swimswuit,"One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit Product Description",/e/r/eroku1.jpg,,/e/r/eroku1.jpg,,/e/r/eroku1.jpg,,,,"4/1/20, 1:05 AM","7/13/20, 3:31 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",Colombia,"complete_your_look=57,hover=/e/r/eroku2_1.jpg,mgs_brand=Baobab,ts_packaging_type=None,you_may_also_like=25",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/e/r/eroku1.jpg,/e/r/eroku2_1.jpg,/e/r/eroku3.png,/e/r/eroku4.png,/e/r/eroku5_1.jpg",",,,,",,,,,,,,,,"sku=770001061113-Copper-M,color=Copper,size=M|sku=770001061113-Copper-S,color=Copper,size=S|sku=770001061113-Copper-L,color=Copper,size=L","color=Color,size=Size"
770001061113-Copper-S,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/Vacation Mode",base,"One Shoulder Cut Out Swimswuit-Copper-S","<p>Product Description</p>",,1.000000,1,0,"Not Visible Individually",130.000000,,,,one-shoulder-cut-out-swimswuit-copper-s,"One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit Product Description",/e/r/eroku1_1_2.jpg,,/e/r/eroku1_1_2.jpg,,/e/r/eroku1_1_2.jpg,,/e/r/eroku1_1_2.jpg,,"4/1/20, 1:07 AM","4/14/20, 2:50 PM",,,"Block after Info Column",,,,No,,,,,,,"Use config",Colombia,"color=Copper,hover=/e/r/eroku2_1_1_2.jpg,mgs_brand=Baobab,size=S,ts_packaging_type=None",200.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/e/r/eroku1_1_2.jpg,/e/r/eroku2_1_1_2.jpg,/e/r/eroku3_1_2.png,/e/r/eroku4_1_2.png,/e/r/eroku5_1_1_2.jpg",",,,,",,,,,,,,,,,
770001061113-Copper-M,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/Vacation Mode",base,"One Shoulder Cut Out Swimswuit-Copper-M","<p>Product Description</p>",,1.000000,1,0,"Not Visible Individually",130.000000,,,,one-shoulder-cut-out-swimswuit-copper-m,"One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit Product Description",/e/r/eroku1_2_2.jpg,,/e/r/eroku1_2_2.jpg,,/e/r/eroku1_2_2.jpg,,/e/r/eroku1_2_2.jpg,,"4/1/20, 1:07 AM","4/6/20, 4:51 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",Colombia,"color=Copper,mgs_brand=Baobab,size=M,ts_packaging_type=None",200.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/e/r/eroku1_2_2.jpg,/e/r/eroku2_1_2_2.jpg,/e/r/eroku3_2_2.png,/e/r/eroku4_2_2.png,/e/r/eroku5_1_2_2.jpg",",,,,",,,,,,,,,,,
770001061113-Copper-L,,Default,simple,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/Vacation Mode",base,"One Shoulder Cut Out Swimswuit-Copper-L","<p>Product Description</p>",,1.000000,1,0,"Not Visible Individually",130.000000,,,,one-shoulder-cut-out-swimswuit-copper-l,"One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit","One Shoulder Cut Out Swimswuit Product Description",/e/r/eroku1_3_2.jpg,,/e/r/eroku1_3_2.jpg,,/e/r/eroku1_3_2.jpg,,/e/r/eroku1_3_2.jpg,,"4/1/20, 1:08 AM","4/6/20, 4:52 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",Colombia,"color=Copper,mgs_brand=Baobab,size=L,ts_packaging_type=None",200.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/e/r/eroku1_3_2.jpg,/e/r/eroku2_1_3_2.jpg,/e/r/eroku3_3_2.png,/e/r/eroku4_3_2.png,/e/r/eroku5_1_3_2.jpg",",,,,",,,,,,,,,,,
7700010641110,,Default,configurable,"Default Category/Clothing,Default Category/Clothing/All Clothing,Default Category/Clothing/Beachwear,Default Category/Clothing/New In,Default Category/Clothing/Vacation Mode,Default Category/Designers/Baobab",base,"Irregular Cut Trikini","<p><span style=""background-color: #ffffff;""><strong>Product Details:</strong> Irregular Cut Trikini with Adjustable Belt Swimsuit<br /><strong>Material:</strong> 80% polyester, 20% elastane<br /><strong>Size & Fit:</strong> Model is wearing size S<br /><strong>Process of Manufacturing: </strong>Handmade<br /><strong>Country of Origin:</strong> Colombia<br /><strong>Care of the product:</strong> Hand wash, do not twist, do not bleach<br /><strong>Social Cause:</strong> For every swimsuit you purchase, we plant a tree in your name</span></p>",,1.000000,1,0,"Catalog, Search",,,,,irregular-cut-trikini,"Beachwear,Swimwear,resortwear,women swimwear, Swimsuit,Onepiece,Bikini,fashion Bikini, trikini, Luxury Swimwear, fashion,online bikini,Designer swimwear,sexy bikinis","Beachwear,Swimwear,resortwear,women swimwear, Swimsuit,Onepiece,Bikini,fashion Bikini, trikini, Luxury Swimwear, fashion,online bikini,Designer swimwear,sexy bikinis","This exclusive Latin Label Irregular Cut Trikini created by BAOBAB is perfect for your next vacation. Shop stylish bikinis, one pieces and sexy bikinis from Latin American Designers",/k/a/kai1_4.jpg,,/k/a/kai1_4.jpg,,/k/a/kai1_4.jpg,,/k/a/kai1_4.jpg,,"4/1/20, 10:08 AM","7/13/20, 3:31 AM",7/7/20,10/1/20,"Block after Info Column",,,,"Use config",,7/7/20,7/9/20,,,,"Use config",Colombia,"complete_your_look=57,hover=/k/a/kai2_1.jpg,mgs_brand=Baobab,ts_packaging_type=None,you_may_also_like=25",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/k/a/kai1_4.jpg,/k/a/kai2_1.jpg,/k/a/kai3_1.png,/k/a/kai4.png",",,,",,,,,,,,,,"sku=7700010641110-Orange-M,color=Orange,size=M|sku=7700010641110-Orange-S,color=Orange,size=S|sku=7700010641110-Orange-L,color=Orange,size=L","color=Color,size=Size"
